A,B,C,D,E,F,G,H,I,target
0.505,8,-,1.984,3,5,2.642,-5.122,0.649,1
0.536,4,-,1.977,1,3,5.756,-3.077,0.950,0
0.024,3,-,3.147,2,6,2.435,4.387,2.186,1
0.543,4,-,2.440,3,9,4.440,7.730,1.938,0
0.942,8,-,1.952,3,9,7.176,-4.579,0.346,1
0.011,9,-,2.280,1,2,5.396,-3.077,1.455,1
0.470,6,-,2.065,2,7,7.335,-1.754,0.790,0
0.964,4,-,2.366,1,2,7.104,-4.400,0.384,0
0.749,4,-,3.093,2,1,5.368,-4.362,0.384,1
0.297,4,-,1.978,3,5,4.119,-7.511,0.245,0
0.998,7,-,1.681,2,9,3.453,-3.162,0.645,0
0.197,4,-,2.067,3,10,7.730,-6.706,0.478,1
0.080,4,-,2.065,2,1,6.512,-7.335,0.497,1
0.861,7,-,2.107,3,4,4.854,0.448,0.989,1
0.981,7,-,1.735,3,5,6.260,-1.057,0.573,1
0.295,4,-,1.856,3,3,5.814,8.532,2.669,1
0.335,4,-,1.704,3,7,5.801,6.978,1.933,0
0.959,5,-,1.823,1,4,4.432,-7.803,0.181,1
0.846,5,-,1.791,2,8,5.391,0.097,0.845,0
0.549,1,+,2.165,2,2,6.304,3.828,1.400,0
0.856,5,-,1.799,,1,1.822,-6.297,0.253,0
0.020,6,-,2.354,3,6,5.700,-3.093,1.671,1
0.035,3,-,2.067,1,4,6.461,4.607,3.029,0
0.120,2,-,1.863,3,9,4.946,-2.522,1.538,1
0.932,2,-,1.970,2,3,2.496,1.393,0.814,0
0.026,5,-,1.809,,4,2.203,8.102,3.985,0
0.906,7,+,1.664,2,4,3.719,4.544,1.345,1
0.304,2,-,2.891,1,8,3.344,-6.290,0.581,0
0.639,10,-,3.440,3,3,6.192,-9.873,0.012,1
0.535,5,-,1.914,2,5,3.987,-7.561,0.332,0
0.369,9,-,2.503,2,1,6.325,2.559,1.510,0
0.988,8,+,2.285,2,6,7.171,-4.925,0.384,1
0.275,5,-,2.515,1,9,5.549,-6.561,0.487,1
0.148,5,-,1.897,3,2,1.839,-0.983,1.526,0
0.683,6,-,2.092,2,7,4.654,-1.137,0.856,0
0.837,2,-,2.222,1,2,1.817,4.256,1.394,0
0.856,1,-,1.921,3,5,2.234,-6.479,0.381,1
0.587,4,-,1.753,1,5,5.631,-4.540,0.675,0
0.913,6,-,2.030,2,4,2.740,4.568,1.083,0
0.489,5,-,1.912,2,8,3.744,-5.539,0.651,0
0.668,4,-,1.950,3,5,5.428,-5.621,0.415,1
0.361,3,-,2.278,2,4,5.607,-5.451,0.482,0
0.189,3,-,1.862,1,4,6.231,-5.713,0.604,1
0.992,2,-,1.844,2,5,2.826,-10.532,-0.057,0
0.910,5,-,2.256,2,7,1.861,7.144,1.433,0
0.951,2,-,2.239,2,5,3.393,0.640,1.197,0
0.652,8,-,1.771,2,9,5.413,-6.231,0.500,0
0.627,6,-,1.906,3,2,5.871,4.945,1.258,0
0.295,5,+,1.715,2,1,5.765,-2.840,1.011,0
0.929,5,-,2.204,1,4,6.460,6.412,1.282,0
0.989,10,-,1.786,3,4,5.347,8.752,1.900,0
0.418,6,-,2.170,1,4,4.627,3.324,1.635,0
